Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
SIDDHI POORNA PALACE,SIDDHI HOMES,Residential (Apartment),2020-12-15,2023-03-30,K-RERA/PRJ/039/2021,2021-06-30,10,6,Completed,Ernakulam,NADAMA,Kanayannur
GIE ROYAL ORCHID,Great India Estates Private Limited,Residential (Apartment),2011-12-07,2022-06-30,K-RERA/PRJ/144/2021,2022-03-04,50,36,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
MOOPANS RIVERSIDE,Moopans,Residential (Apartment),2017-08-01,2023-01-30,K-RERA/PRJ/127/2021,2021-11-03,38,5,Completed,Ernakulam,KEEZHMAD,Aluva
OLIVE IANTHA,OLIVE BUILDERS,Residential (Apartment),2014-07-19,2021-09-30,K-RERA/PRJ/341/2020,2021-07-13,64,42,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
PRIME MERIDIAN GAZEBO,MERITRA HOMES PVT LTD,Residential (Apartment),2021-06-01,2024-10-31,K-RERA/PRJ/ERN/013/2021,2021-05-15,20,19,Completed,Ernakulam,THEKKUMBHAGOM KANAYANNUR,Kanayannur
CONFIDENT WILLOW,Confident Projects Residential,Residential (Apartment),2017-11-15,2021-11-15,K-RERA/PRJ/035/2020,2021-06-30,86,86,Completed,Malappuram,VAZHAYUR,KONDOTTY
HiLITE FLORINA,HiLITE Builders Pvt Ltd,Residential (Apartment),2021-09-25,2025-09-25,K-RERA/PRJ/KKD/054/2021,2021-09-24,70,70,Completed,Kozhikode,OLAVANNA,Kozhikode
VISHRAAM MILESTONE,Vishraam Builders and Developers Pvt Ltd,Residential (Apartment),2019-12-16,2026-06-30,K-RERA/PRJ/159/2020,2021-07-28,26,26,Completed,Thrissur,THRISSUR,Thrissur
FORUS BOUGAIN VILLA,FORUS INITIATIVES,Villas (Plots & Buildings),2016-05-25,2028-06-30,K-RERA/PRJ/175/2021,2021-06-11,22,22,Completed,Thrissur,ARATUPUZHA,Thrissur
SOWPARNIKA NAVARATHINAM - PEARL,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2017-07-01,2024-08-31,K-RERA/PRJ/072/2021,2021-07-05,72,69,Completed,Thiruvananthapuram,NEMOM,THIRUVANANTHAPRUAM
SOWPARNIKA BHAVANI,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2014-03-26,2024-12-31,K-RERA/PRJ/103/2021,2021-07-26,18,10,Completed,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
SOWPARNIKA VAISHNAVAM,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2014-12-01,2022-12-31,K-RERA/PRJ/109/2021,2021-07-02,96,96,Completed,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
SOWPARNIKA SHRIDI II,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2013-01-02,2023-12-31,K-RERA/PRJ/164/2021,2021-07-06,107,107,Completed,Thiruvananthapuram,ULOOR,THIRUVANANTHAPRUAM
THE CENTRAL EXCISE AND CUSTOMS OFFICERS HOUSING COOPERATIVE SOCIETY LTD,THE CENTRAL EXCISE AND CUSTOMS OFFICERS HOUSING COOPERATIVE SOCIETY LTD,Residential (Apartment),2017-07-10,2022-06-30,K-RERA/PRJ/168/2021,2021-09-13,85,85,Completed,Ernakulam,ERNAKULAM,Kanayannur
ARTECH PALM MEADOWS,ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2018-10-11,2023-12-30,K-RERA/PRJ/083/2020,2021-06-30,60,50,Completed,Kollam,MUNDAKKAL,Kollam
SILPI MARIGOLD,SILPI PROJECTS,Residential (Apartment),2021-05-03,2024-05-05,K-RERA/PRJ/ALP/035/2021,2021-08-04,20,0,Completed,Alappuzha,CHERTHALA SOUTH,Cherthala
